q_roots,chain_vertices,sequential_edge_scans,batched_edge_scans,scan_reduction_factor
8,8,64,15,4.266666666666667
8,16,128,23,5.565217391304348
8,32,256,39,6.564102564102564
8,64,512,71,7.211267605633803
8,128,1024,135,7.5851851851851855
16,8,128,23,5.565217391304348
16,16,256,31,8.258064516129032
16,32,512,47,10.893617021276595
16,64,1024,79,12.962025316455696
16,128,2048,143,14.321678321678322
32,8,256,39,6.564102564102564
32,16,512,47,10.893617021276595
32,32,1024,63,16.253968253968253
32,64,2048,95,21.557894736842105
32,128,4096,159,25.761006289308177
64,8,512,71,7.211267605633803
64,16,1024,79,12.962025316455696
64,32,2048,95,21.557894736842105
64,64,4096,127,32.25196850393701
64,128,8192,191,42.890052356020945
128,8,1024,135,7.5851851851851855
128,16,2048,143,14.321678321678322
128,32,4096,159,25.761006289308177
128,64,8192,191,42.890052356020945
128,128,16384,255,64.25098039215686
