h,q,k,baseline_edge_scans,speculative_probe_scans,reduction_factor
8,8,9,448,8,56
8,8,9,448,8,56
8,8,9,448,8,56
8,8,9,448,8,56
8,8,9,448,8,56
16,8,17,1920,16,120
16,16,17,3840,16,240
16,16,17,3840,16,240
16,16,17,3840,16,240
16,16,17,3840,16,240
32,8,33,7936,32,248
32,16,33,15872,32,496
32,32,33,31744,32,992
32,32,33,31744,32,992
32,32,33,31744,32,992
64,8,65,32256,64,504
64,16,65,64512,64,1008
64,32,65,129024,64,2016
64,64,65,258048,64,4032
64,64,65,258048,64,4032
128,8,129,130048,128,1016
128,16,129,260096,128,2032
128,32,129,520192,128,4064
128,64,129,1040384,128,8128
128,128,129,2080768,128,16256
