t,p_over_M,M,p,Ssum_per_pivot,potential_increase,potential_increase_per_pivot,potential_per_pivot_over_t
1,2,1024,2048,0.00048828125,430314,210.1142578125,210.1142578125
2,4,1024,4096,0.50048828125,1720788,420.1142578125,210.05712890625
3,8,1024,8192,1.2503662109375,5161686,630.088623046875,210.029541015625
4,16,1024,16384,2.125244140625,13763592,840.06298828125,210.0157470703125
5,32,1024,32768,3.062652587890625,34408440,1050.058837890625,210.011767578125
6,64,1024,65536,4.0313262939453125,82578288,1260.044677734375,210.0074462890625
7,128,1024,131072,5.015663146972656,192682176,1470.0406494140625,210.0058070591518
8,256,1024,262144,6.007831573486328,440403360,1680.0350646972656,210.0043830871582
9,512,1024,524288,7.003915786743164,990907968,1890.0298461914062,210.0033162434896
10,1024,1024,1048576,8.001957893371582,2202011640,2100.0324630737305,210.00324630737305
11,2048,1024,2097152,9.000978946685791,4844429562,2310.0307474136353,210.0027952194214
12,4096,1024,4194304,10.000489473342896,10569652092,2520.0214614868164,210.0017884572347
13,8192,1024,8388608,11.000244736671448,22935119646,2730.021434545517,210.00164881119362
14,16384,1024,16777216,12.000122904777527,49325214588,2940.0118939876556,210.00084957054683
15,32768,1024,33554432,13.000061482191086,105696857166,3150.0118126273155,210.0007875084877
16,65536,1024,67108864,14.000030755996704,225486572832,3360.0117688179016,210.00073555111885
