M,ratio_s_over_M,log2_ratio,entries,Ssum,potM_one_block,potential_per_entry,ell_at_end
64,1,0,64,0,15,0.234375,0
64,2,1,128,64,40467,316.1484375,1
64,4,2,256,320,120675,471.38671875,2
64,8,3,512,1024,295011,576.193359375,3
64,16,4,1024,2816,672963,657.1904296875,4
64,32,5,2048,7168,1481667,723.47021484375,5
64,64,6,4096,17408,3197955,780.750732421875,6
64,128,7,8192,40960,6820995,832.6419677734375,7
64,256,8,16384,94208,14426691,880.7794799804688,8
64,512,9,32768,212992,30397443,927.6563415527344,9
64,1024,10,65536,475136,63866883,974.5312957763672,10
64,2048,11,131072,1048576,133947395,1021.7544174194336,11
64,4096,12,262144,2293760,660654555,2520.197124481201,12
