alpha,term,log_exponent,candidate_exponent,exponent_gap_candidate_minus_term,extra_loglog_factor,strictly_lower_power,same_power
0,N_logN_over_t,0.5,0.5,0,false,false,true
0,m_t,0.5,0.5,0,false,false,true
0,N_L_constant_k,0.5,0.5,0,false,false,true
0,N_logN_over_t2_failed_Q,0,0.5,0.5,false,true,false
0,k2_m,0,0.5,0.5,false,true,false
0,N_t_A_M_extra,0.5,0.5,0,false,false,true
0,m_log_delta,0,0.5,0.5,true,true,false
0,m_log_tdelta,0,0.5,0.5,true,true,false
0,m_input,0,0.5,0.5,false,true,false
0,N,0,0.5,0.5,false,true,false
0.05,N_logN_over_t,0.525,0.525,0,false,false,true
0.05,m_t,0.525,0.525,0,false,false,true
0.05,N_L_constant_k,0.525,0.525,0,false,false,true
0.05,N_logN_over_t2_failed_Q,0.05,0.525,0.47500000000000003,false,true,false
0.05,k2_m,0.05,0.525,0.47500000000000003,false,true,false
0.05,N_t_A_M_extra,0.475,0.525,0.050000000000000044,false,true,false
0.05,m_log_delta,0.05,0.525,0.47500000000000003,true,true,false
0.05,m_log_tdelta,0.05,0.525,0.47500000000000003,true,true,false
0.05,m_input,0.05,0.525,0.47500000000000003,false,true,false
0.05,N,0,0.525,0.525,false,true,false
0.1,N_logN_over_t,0.55,0.55,0,false,false,true
0.1,m_t,0.55,0.55,0,false,false,true
0.1,N_L_constant_k,0.55,0.55,0,false,false,true
0.1,N_logN_over_t2_failed_Q,0.1,0.55,0.45000000000000007,false,true,false
0.1,k2_m,0.1,0.55,0.45000000000000007,false,true,false
0.1,N_t_A_M_extra,0.45,0.55,0.10000000000000003,false,true,false
0.1,m_log_delta,0.1,0.55,0.45000000000000007,true,true,false
0.1,m_log_tdelta,0.1,0.55,0.45000000000000007,true,true,false
0.1,m_input,0.1,0.55,0.45000000000000007,false,true,false
0.1,N,0,0.55,0.55,false,true,false
0.15,N_logN_over_t,0.575,0.575,0,false,false,true
0.15,m_t,0.575,0.575,0,false,false,true
0.15,N_L_constant_k,0.575,0.575,0,false,false,true
0.15,N_logN_over_t2_failed_Q,0.15,0.575,0.42499999999999993,false,true,false
0.15,k2_m,0.15,0.575,0.42499999999999993,false,true,false
0.15,N_t_A_M_extra,0.425,0.575,0.14999999999999997,false,true,false
0.15,m_log_delta,0.15,0.575,0.42499999999999993,true,true,false
0.15,m_log_tdelta,0.15,0.575,0.42499999999999993,true,true,false
0.15,m_input,0.15,0.575,0.42499999999999993,false,true,false
0.15,N,0,0.575,0.575,false,true,false
0.2,N_logN_over_t,0.6,0.6,0,false,false,true
0.2,m_t,0.6,0.6,0,false,false,true
0.2,N_L_constant_k,0.6,0.6,0,false,false,true
0.2,N_logN_over_t2_failed_Q,0.2,0.6,0.39999999999999997,false,true,false
0.2,k2_m,0.2,0.6,0.39999999999999997,false,true,false
0.2,N_t_A_M_extra,0.4,0.6,0.19999999999999996,false,true,false
0.2,m_log_delta,0.2,0.6,0.39999999999999997,true,true,false
0.2,m_log_tdelta,0.2,0.6,0.39999999999999997,true,true,false
0.2,m_input,0.2,0.6,0.39999999999999997,false,true,false
0.2,N,0,0.6,0.6,false,true,false
0.25,N_logN_over_t,0.625,0.625,0,false,false,true
0.25,m_t,0.625,0.625,0,false,false,true
0.25,N_L_constant_k,0.625,0.625,0,false,false,true
0.25,N_logN_over_t2_failed_Q,0.25,0.625,0.375,false,true,false
0.25,k2_m,0.25,0.625,0.375,false,true,false
0.25,N_t_A_M_extra,0.375,0.625,0.25,false,true,false
0.25,m_log_delta,0.25,0.625,0.375,true,true,false
0.25,m_log_tdelta,0.25,0.625,0.375,true,true,false
0.25,m_input,0.25,0.625,0.375,false,true,false
0.25,N,0,0.625,0.625,false,true,false
0.3,N_logN_over_t,0.65,0.65,0,false,false,true
0.3,m_t,0.65,0.65,0,false,false,true
0.3,N_L_constant_k,0.65,0.65,0,false,false,true
0.3,N_logN_over_t2_failed_Q,0.3,0.65,0.35000000000000003,false,true,false
0.3,k2_m,0.3,0.65,0.35000000000000003,false,true,false
0.3,N_t_A_M_extra,0.35,0.65,0.30000000000000004,false,true,false
0.3,m_log_delta,0.3,0.65,0.35000000000000003,true,true,false
0.3,m_log_tdelta,0.3,0.65,0.35000000000000003,true,true,false
0.3,m_input,0.3,0.65,0.35000000000000003,false,true,false
0.3,N,0,0.65,0.65,false,true,false
0.35,N_logN_over_t,0.675,0.675,0,false,false,true
0.35,m_t,0.675,0.675,0,false,false,true
0.35,N_L_constant_k,0.675,0.675,0,false,false,true
0.35,N_logN_over_t2_failed_Q,0.35,0.675,0.32500000000000007,false,true,false
0.35,k2_m,0.35,0.675,0.32500000000000007,false,true,false
0.35,N_t_A_M_extra,0.325,0.675,0.35000000000000003,false,true,false
0.35,m_log_delta,0.35,0.675,0.32500000000000007,true,true,false
0.35,m_log_tdelta,0.35,0.675,0.32500000000000007,true,true,false
0.35,m_input,0.35,0.675,0.32500000000000007,false,true,false
0.35,N,0,0.675,0.675,false,true,false
0.4,N_logN_over_t,0.7,0.7,0,false,false,true
0.4,m_t,0.7,0.7,0,false,false,true
0.4,N_L_constant_k,0.7,0.7,0,false,false,true
0.4,N_logN_over_t2_failed_Q,0.4,0.7,0.29999999999999993,false,true,false
0.4,k2_m,0.4,0.7,0.29999999999999993,false,true,false
0.4,N_t_A_M_extra,0.3,0.7,0.39999999999999997,false,true,false
0.4,m_log_delta,0.4,0.7,0.29999999999999993,true,true,false
0.4,m_log_tdelta,0.4,0.7,0.29999999999999993,true,true,false
0.4,m_input,0.4,0.7,0.29999999999999993,false,true,false
0.4,N,0,0.7,0.7,false,true,false
0.45,N_logN_over_t,0.725,0.725,0,false,false,true
0.45,m_t,0.725,0.725,0,false,false,true
0.45,N_L_constant_k,0.725,0.725,0,false,false,true
0.45,N_logN_over_t2_failed_Q,0.45,0.725,0.27499999999999997,false,true,false
0.45,k2_m,0.45,0.725,0.27499999999999997,false,true,false
0.45,N_t_A_M_extra,0.275,0.725,0.44999999999999996,false,true,false
0.45,m_log_delta,0.45,0.725,0.27499999999999997,true,true,false
0.45,m_log_tdelta,0.45,0.725,0.27499999999999997,true,true,false
0.45,m_input,0.45,0.725,0.27499999999999997,false,true,false
0.45,N,0,0.725,0.725,false,true,false
0.5,N_logN_over_t,0.75,0.75,0,false,false,true
0.5,m_t,0.75,0.75,0,false,false,true
0.5,N_L_constant_k,0.75,0.75,0,false,false,true
0.5,N_logN_over_t2_failed_Q,0.5,0.75,0.25,false,true,false
0.5,k2_m,0.5,0.75,0.25,false,true,false
0.5,N_t_A_M_extra,0.25,0.75,0.5,false,true,false
0.5,m_log_delta,0.5,0.75,0.25,true,true,false
0.5,m_log_tdelta,0.5,0.75,0.25,true,true,false
0.5,m_input,0.5,0.75,0.25,false,true,false
0.5,N,0,0.75,0.75,false,true,false
0.55,N_logN_over_t,0.775,0.775,0,false,false,true
0.55,m_t,0.775,0.775,0,false,false,true
0.55,N_L_constant_k,0.775,0.775,0,false,false,true
0.55,N_logN_over_t2_failed_Q,0.55,0.775,0.22499999999999998,false,true,false
0.55,k2_m,0.55,0.775,0.22499999999999998,false,true,false
0.55,N_t_A_M_extra,0.22499999999999998,0.775,0.55,false,true,false
0.55,m_log_delta,0.55,0.775,0.22499999999999998,true,true,false
0.55,m_log_tdelta,0.55,0.775,0.22499999999999998,true,true,false
0.55,m_input,0.55,0.775,0.22499999999999998,false,true,false
0.55,N,0,0.775,0.775,false,true,false
0.6,N_logN_over_t,0.8,0.8,0,false,false,true
0.6,m_t,0.8,0.8,0,false,false,true
0.6,N_L_constant_k,0.8,0.8,0,false,false,true
0.6,N_logN_over_t2_failed_Q,0.6,0.8,0.20000000000000007,false,true,false
0.6,k2_m,0.6,0.8,0.20000000000000007,false,true,false
0.6,N_t_A_M_extra,0.2,0.8,0.6000000000000001,false,true,false
0.6,m_log_delta,0.6,0.8,0.20000000000000007,true,true,false
0.6,m_log_tdelta,0.6,0.8,0.20000000000000007,true,true,false
0.6,m_input,0.6,0.8,0.20000000000000007,false,true,false
0.6,N,0,0.8,0.8,false,true,false
0.65,N_logN_over_t,0.825,0.825,0,false,false,true
0.65,m_t,0.825,0.825,0,false,false,true
0.65,N_L_constant_k,0.825,0.825,0,false,false,true
0.65,N_logN_over_t2_failed_Q,0.65,0.825,0.17499999999999993,false,true,false
0.65,k2_m,0.65,0.825,0.17499999999999993,false,true,false
0.65,N_t_A_M_extra,0.175,0.825,0.6499999999999999,false,true,false
0.65,m_log_delta,0.65,0.825,0.17499999999999993,true,true,false
0.65,m_log_tdelta,0.65,0.825,0.17499999999999993,true,true,false
0.65,m_input,0.65,0.825,0.17499999999999993,false,true,false
0.65,N,0,0.825,0.825,false,true,false
0.7,N_logN_over_t,0.85,0.85,0,false,false,true
0.7,m_t,0.85,0.85,0,false,false,true
0.7,N_L_constant_k,0.85,0.85,0,false,false,true
0.7,N_logN_over_t2_failed_Q,0.7,0.85,0.15000000000000002,false,true,false
0.7,k2_m,0.7,0.85,0.15000000000000002,false,true,false
0.7,N_t_A_M_extra,0.15000000000000002,0.85,0.7,false,true,false
0.7,m_log_delta,0.7,0.85,0.15000000000000002,true,true,false
0.7,m_log_tdelta,0.7,0.85,0.15000000000000002,true,true,false
0.7,m_input,0.7,0.85,0.15000000000000002,false,true,false
0.7,N,0,0.85,0.85,false,true,false
0.75,N_logN_over_t,0.875,0.875,0,false,false,true
0.75,m_t,0.875,0.875,0,false,false,true
0.75,N_L_constant_k,0.875,0.875,0,false,false,true
0.75,N_logN_over_t2_failed_Q,0.75,0.875,0.125,false,true,false
0.75,k2_m,0.75,0.875,0.125,false,true,false
0.75,N_t_A_M_extra,0.125,0.875,0.75,false,true,false
0.75,m_log_delta,0.75,0.875,0.125,true,true,false
0.75,m_log_tdelta,0.75,0.875,0.125,true,true,false
0.75,m_input,0.75,0.875,0.125,false,true,false
0.75,N,0,0.875,0.875,false,true,false
